ImageID,label
5578,perseverance
7373,perseverance
1472,perseverance
5353,perseverance
2112,perseverance
2613,perseverance
6788,perseverance
9418,perseverance
6770,perseverance
8394,perseverance
8515,perseverance
9628,perseverance
5275,curiosity
4862,perseverance
7262,perseverance
1152,perseverance
2393,perseverance
2017,curiosity
2875,perseverance
6975,perseverance
2324,perseverance
7559,perseverance
7027,perseverance
2328,perseverance
5646,perseverance
7648,perseverance
1756,curiosity
7828,perseverance
5555,perseverance
523,perseverance
2558,perseverance
5143,perseverance
8535,perseverance
6821,perseverance
806,curiosity
4514,perseverance
9381,perseverance
7270,perseverance
894,curiosity
6771,perseverance
7159,perseverance
3044,perseverance
4943,perseverance
8371,perseverance
1524,perseverance
9987,curiosity
6876,perseverance
9576,perseverance
1469,perseverance
1510,perseverance
4688,perseverance
5302,perseverance
6946,perseverance
5184,perseverance
8851,perseverance
9823,perseverance
4256,curiosity
5440,perseverance
9651,perseverance
571,perseverance
5414,perseverance
4954,perseverance
285,curiosity
4617,perseverance
962,perseverance
6792,perseverance
4936,perseverance
9847,perseverance
4231,perseverance
1706,perseverance
6338,curiosity
9285,curiosity
4182,perseverance
8800,perseverance
4421,perseverance
1153,perseverance
7075,perseverance
25,perseverance
3708,perseverance
4328,perseverance
6288,curiosity
3498,perseverance
7971,curiosity
2780,perseverance
4701,perseverance
4493,perseverance
8264,perseverance
6114,perseverance
7520,perseverance
5896,perseverance
5700,perseverance
4637,perseverance
7457,curiosity
7030,perseverance
2204,perseverance
5093,perseverance
5881,perseverance
5910,perseverance
9230,perseverance
7911,perseverance
4923,perseverance
80,perseverance
5633,perseverance
3870,perseverance
5742,perseverance
1385,perseverance
3006,perseverance
3979,curiosity
8534,perseverance
2534,perseverance
4816,perseverance
2582,curiosity
283,perseverance
3671,perseverance
5832,perseverance
5614,perseverance
3326,perseverance
1112,perseverance
5122,perseverance
1533,perseverance
8624,perseverance
9543,perseverance
3077,perseverance
9503,perseverance
8076,perseverance
1990,perseverance
8890,perseverance
9838,perseverance
7017,perseverance
163,curiosity
5859,perseverance
8979,perseverance
4984,perseverance
5029,perseverance
9800,perseverance
5281,curiosity
8101,perseverance
6961,curiosity
1016,perseverance
1894,perseverance
3251,perseverance
9427,perseverance
2850,perseverance
9881,perseverance
5826,perseverance
7761,perseverance
5840,perseverance
7165,perseverance
8046,perseverance
5082,curiosity
5085,perseverance
7447,perseverance
4299,perseverance
6499,perseverance
4549,perseverance
1063,curiosity
2015,perseverance
4024,perseverance
3955,perseverance
5101,curiosity
7663,perseverance
2290,curiosity
6511,perseverance
6315,curiosity
2547,perseverance
5611,perseverance
55,curiosity
2926,perseverance
2036,perseverance
3,perseverance
3399,perseverance
3584,perseverance
4496,perseverance
1248,perseverance
1826,perseverance
5733,perseverance
413,perseverance
3667,perseverance
6353,perseverance
1847,curiosity
8736,perseverance
1603,curiosity
9907,perseverance
7897,perseverance
1881,perseverance
3901,perseverance
7806,perseverance
1048,curiosity
9988,perseverance
3353,perseverance
3496,perseverance
9072,curiosity
424,perseverance
8668,curiosity
5715,curiosity
3798,perseverance
4925,perseverance
9642,perseverance
3310,perseverance
7930,curiosity
3296,perseverance
7883,perseverance
7355,curiosity
8685,perseverance
6596,perseverance
3299,perseverance
2864,curiosity
9348,perseverance
3023,perseverance
4740,perseverance
3989,perseverance
6466,perseverance
6992,perseverance
238,perseverance
1202,perseverance
864,perseverance
6270,curiosity
3763,perseverance
1715,perseverance
3384,perseverance
3892,perseverance
8700,perseverance
9782,perseverance
8244,perseverance
770,perseverance
2211,perseverance
930,perseverance
5590,perseverance
2496,perseverance
9815,perseverance
9212,curiosity
1540,perseverance
340,perseverance
4959,perseverance
4282,curiosity
8189,perseverance
2543,perseverance
8161,curiosity
9320,perseverance
9772,perseverance
4066,perseverance
8480,curiosity
8007,perseverance
9857,perseverance
2781,perseverance
7620,perseverance
6422,perseverance
643,perseverance
4896,curiosity
5802,perseverance
5118,perseverance
4276,perseverance
3839,perseverance
7133,perseverance
4814,perseverance
7542,perseverance
8467,perseverance
9094,perseverance
9167,perseverance
3824,perseverance
7842,perseverance
622,curiosity
2479,perseverance
3977,perseverance
3958,perseverance
3153,perseverance
8396,perseverance
7778,perseverance
2472,perseverance
5575,perseverance
5435,perseverance
4306,perseverance
4099,perseverance
3487,perseverance
8740,perseverance
8273,perseverance
5280,perseverance
5256,perseverance
6544,perseverance
5541,perseverance
7197,curiosity
6774,perseverance
7871,curiosity
5333,curiosity
5525,perseverance
473,perseverance
8360,perseverance
4441,curiosity
7245,perseverance
77,curiosity
9325,perseverance
423,perseverance
9715,perseverance
7943,perseverance
3148,curiosity
8458,perseverance
7860,perseverance
4280,curiosity
2478,perseverance
6644,perseverance
8134,perseverance
3803,perseverance
7134,perseverance
1944,perseverance
3067,perseverance
7906,perseverance
4978,perseverance
2490,perseverance
5581,perseverance
3223,perseverance
3934,perseverance
6240,perseverance
4525,perseverance
2601,curiosity
5463,curiosity
5138,perseverance
6043,perseverance
2911,perseverance
6206,curiosity
1463,curiosity
5480,perseverance
5963,perseverance
2651,perseverance
9302,perseverance
8275,curiosity
9679,perseverance
9287,perseverance
2016,curiosity
7470,perseverance
6613,perseverance
572,curiosity
6954,perseverance
1806,perseverance
891,perseverance
5121,perseverance
2358,perseverance
3624,perseverance
9491,perseverance
1910,curiosity
3207,perseverance
3358,perseverance
4786,perseverance
5139,perseverance
9293,curiosity
1880,curiosity
7729,perseverance
312,perseverance
3913,perseverance
9731,perseverance
1955,curiosity
2685,curiosity
7773,curiosity
923,perseverance
1763,perseverance
8870,perseverance
6318,perseverance
5730,perseverance
83,perseverance
7560,perseverance
1557,perseverance
4179,perseverance
4212,perseverance
92,perseverance
3024,perseverance
2968,perseverance
8966,perseverance
4693,perseverance
1083,perseverance
1290,perseverance
4522,perseverance
3666,perseverance
7628,perseverance
7679,perseverance
3080,perseverance
4369,perseverance
3252,perseverance
7031,perseverance
65,perseverance
1900,perseverance
8548,curiosity
5935,perseverance
982,perseverance
1054,perseverance
5481,perseverance
9683,perseverance
9524,curiosity
400,perseverance
7099,perseverance
1323,perseverance
34,perseverance
9253,perseverance
2154,perseverance
7621,perseverance
6154,perseverance
8162,perseverance
2453,perseverance
8147,perseverance
4482,perseverance
3969,perseverance
8001,perseverance
6421,perseverance
9841,perseverance
4269,perseverance
4912,perseverance
8613,perseverance
9573,perseverance
5561,perseverance
2197,curiosity
452,perseverance
6732,perseverance
649,perseverance
6001,perseverance
4880,perseverance
6709,perseverance
7868,perseverance
534,perseverance
3749,perseverance
7704,perseverance
4574,perseverance
51,perseverance
4019,perseverance
6988,perseverance
5220,perseverance
9845,perseverance
7700,perseverance
8941,perseverance
6336,perseverance
6371,perseverance
2644,perseverance
7922,perseverance
9341,perseverance
2584,perseverance
4294,perseverance
6069,curiosity
5012,perseverance
8960,perseverance
9402,perseverance
3553,perseverance
1168,perseverance
1195,perseverance
329,perseverance
9150,curiosity
8947,perseverance
1967,perseverance
906,perseverance
3963,perseverance
4917,perseverance
4988,perseverance
2398,perseverance
5455,perseverance
5930,perseverance
9313,perseverance
4825,perseverance
1282,perseverance
7029,perseverance
2014,perseverance
9110,perseverance
2270,perseverance
9898,curiosity
4737,perseverance
8550,curiosity
9165,perseverance
1635,perseverance
6260,curiosity
6082,perseverance
8296,perseverance
6331,curiosity
6022,curiosity
9033,perseverance
8608,perseverance
6863,perseverance
9380,perseverance
1745,perseverance
9742,curiosity
4055,perseverance
3838,perseverance
220,curiosity
1007,perseverance
3966,curiosity
3517,perseverance
6719,perseverance
886,perseverance
2301,curiosity
2809,perseverance
3208,perseverance
1618,curiosity
4763,perseverance
4201,curiosity
5278,perseverance
4213,perseverance
6510,perseverance
8347,curiosity
359,perseverance
5830,perseverance
4655,perseverance
7794,curiosity
3078,perseverance
3484,perseverance
2564,perseverance
7410,curiosity
7459,perseverance
3312,perseverance
13,perseverance
6736,perseverance
857,curiosity
6682,perseverance
3933,perseverance
3576,perseverance
4728,perseverance
432,perseverance
7123,perseverance
4986,curiosity
6024,perseverance
3500,perseverance
6189,perseverance
6201,perseverance
7063,perseverance
3774,perseverance
3458,perseverance
6847,perseverance
1456,perseverance
6655,perseverance
1713,perseverance
1506,perseverance
4956,perseverance
9047,perseverance
6387,curiosity
8413,curiosity
703,perseverance
570,perseverance
2493,perseverance
5587,perseverance
1014,perseverance
7856,perseverance
3386,perseverance
8605,curiosity
361,perseverance
5950,curiosity
711,perseverance
2374,curiosity
3877,perseverance
2111,perseverance
5209,perseverance
2541,perseverance
5741,perseverance
8240,perseverance
2109,perseverance
9704,perseverance
9958,perseverance
1922,curiosity
6017,perseverance
590,perseverance
4609,perseverance
9259,perseverance
9234,perseverance
8279,perseverance
9347,perseverance
2563,curiosity
7960,perseverance
4355,perseverance
5743,perseverance
2553,perseverance
9858,perseverance
8005,perseverance
6255,perseverance
3182,curiosity
6084,perseverance
3415,perseverance
9000,curiosity
3361,perseverance
7611,perseverance
589,perseverance
9703,perseverance
1216,perseverance
3578,perseverance
2589,perseverance
4097,perseverance
922,perseverance
7430,perseverance
1765,curiosity
4054,perseverance
3563,curiosity
